,Mã tin,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Phòng ngủ,Phòng tắm,Lầu,Lửng,Tầng thượng,Hướng,Đường,Phường,Quận,Giá,Đơn giá gộp,Tiêu đề,Địa chỉ,"Gần chợ, siêu thị",Gần trường học,Di chuyển thuận tiện ra trung tâm,"Khu vực an ninh, yên tĩnh",phân loại
64,263605,23.0,46.0,7.2,3.2,2.0,,2.0,2.0,1,0,0,T.Bắc,Đ.Huỳnh Tấn Phát,X.Phú Xuân,H.Nhà Bè,1.35,58.6,bán nhà nhỏ xinh hẻm thông thoáng xã phú xuân huyện nhà bè,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
69,168416,6.2,6.2,4.06,2.55,1.34,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Trường Sa,P.17,Q.Bình Thạnh,1.35,217.7,bán nhà hẻm đường trường sa quận bình thạnh - gần mặt tiền đường,"Đ.Trường Sa, P.17, Q.Bình Thạnh, Hồ Chí Minh",0,0,0,0,1.0
71,406228,8.0,16.0,4.62,1.45,3.0,,1.0,1.0,1,1,0,T.Nam,Đ.Nguyễn Khuyến,P.12,Q.Bình Thạnh,1.35,168.7,"bán nhà nhỏ xinh hẻm ba gác, gần mặt tiền đường, phường 12, bình thạnh","Đ.Nguyễn Khuyến, P.12, Q.Bình Thạnh, Hồ Chí Minh",1,1,1,0,1.0
72,186386,11.1,17.2,2.9,4.01,1.5,,1.0,1.0,1,0,0,Bắc,Đ.Hưng Phú,P.9,Q.8,1.35,121.6,bán nhà riêng phường 9 quận 8 - sổ hồng riêng chính chủ,"Đ.Hưng Phú, P.9, Q.8, Hồ Chí Minh",1,1,1,1,1.0
73,363482,17.9,26.7,5.84,3.04,1.2,,1.0,1.0,0,1,0,T.Bắc,Đ.Quốc Lộ 1A,P.Linh Xuân,Q.Thủ Đức,1.35,75.4,"bán nhà nhỏ xinh ngay ngã tư linh xuân, phường linh xuân, quận thủ đức","Đ.Quốc Lộ 1A, P.Linh Xuân, Q.Thủ Đức, Hồ Chí Minh",1,1,1,1,1.0
75,411482,11.1,22.2,4.37,2.56,3.8,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Số 5,P.Bình Hưng Hòa A,Q.Bình Tân,1.37,123.4,bán nhà hẻm thông thoáng phường bình hưng hòa a quận bình tân,"Đ.Số 5, P.Bình Hưng Hòa A, Q.Bình Tân, Hồ Chí Minh",1,1,1,1,1.0
78,326596,10.1,20.2,3.68,2.8,1.13,,1.0,1.0,1,0,0,Đông,Đ.Tân Hòa Đông,P.14,Q.6,1.39,137.6,bán nhà nhỏ xinh 1 trệt 1 lầu hẻm tân hòa đông p14 q6 - 2.8mx3.68m,"Đ.Tân Hòa Đông, P.14, Q.6, Hồ Chí Minh",0,0,0,0,1.0
79,353380,27.0,54.0,9.0,3.0,2.0,,2.0,2.0,1,0,0,Đ.Nam,Đ.Huỳnh Tấn Phát,X.Phú Xuân,H.Nhà Bè,1.39,51.4,bán nhà hẻm thông thoáng xã phú xuân huyện nhà bè,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
82,412139,9.7,19.4,2.81,2.16,1.0,,,2.0,2,0,1,T.Nam,Đ.Bình Tiên,P.8,Q.6,1.4,144.3,bán nhà hẻm thông thoáng phường 8 quận 6,"Đ.Bình Tiên, P.8, Q.6, Hồ Chí Minh",1,1,1,1,1.0
85,90968,45.0,45.0,15.0,3.25,3.0,,2.0,1.0,0,0,0,Đ.Bắc,Đ.Tân Hiệp 1-3,X.Tân Hiệp,H.Hóc Môn,1.4,31.1,bán nhà riêng huyện hóc môn- xây dựng kiên cố,"Đ.Tân Hiệp 1-3, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh",0,1,0,1,1.0
88,321577,19.4,35.9,3.55,4.95,2.5,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Tôn Đản,P.10,Q.4,1.4,72.1,bán nhà hẻm tôn đản phường 10 quận 4 - nhà gần tiểu học xóm chiếu,"Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",1,1,1,0,1.0
90,212263,14.8,31.8,4.08,3.65,1.55,,1.0,1.0,1,0,0,T.Nam,Đ.Nguyễn Thị Búp,P.Hiệp Thành,Q.12,1.4,94.5,bán nhà riêng quận 12 - cách ngã tư nước đá chỉ 310m,"Đ.Nguyễn Thị Búp, P.Hiệp Thành, Q.12, Hồ Chí Minh",1,1,0,1,1.0
95,278159,10.7,21.3,3.95,2.6,1.69,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Nguyễn Biểu,P.1,Q.5,1.45,135.5,bán nhà nhỏ xinh trung tâm quận 5 - gần tttm nowzone,"Đ.Nguyễn Biểu, P.1, Q.5, Hồ Chí Minh",0,0,0,0,1.0
98,200773,11.1,29.0,3.54,3.45,3.1,,2.0,2.0,1,1,0,,Đ.Lê Đức Thọ,P.17,Q.Gò Vấp,1.45,130.6,nhà bán quận gò vấp - khu dân cư an ninh yên tĩnh,"Đ.Lê Đức Thọ, P.17, Q.Gò Vấp, Hồ Chí Minh",1,1,1,1,1.0
99,56029,10.6,21.2,4.0,2.68,2.02,,2.0,2.0,1,0,0,Đông,Đ.Đinh Bộ Lĩnh,P.26,Q.Bình Thạnh,1.45,136.7,bán nhà hẻm quận bình thạnh - sổ hồng chính chủ,"Đ.Đinh Bộ Lĩnh, P.26, Q.Bình Thạnh, Hồ Chí Minh",1,0,1,0,1.0
101,403501,9.0,18.0,3.4,3.1,3.0,,1.0,1.0,1,0,0,T.Bắc,Đ.Lý Chính Thắng,P.7,Q.3,1.45,161.1,bán nhà căn góc nhỏ xinh hẻm quận 3 - gần bệnh viên hoàn mỹ,"Đ.Lý Chính Thắng, P.7, Q.3, Hồ Chí Minh",1,0,0,0,1.0
105,396402,11.8,23.6,3.94,3.0,2.33,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Trần Xuân Soạn,P.Tân Hưng,Q.7,1.5,127.1,bán nhà 1 trệt 1 lầu hẻm xe máy phường tân hưng quận 7,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh",1,1,1,1,1.0
107,333353,13.5,22.6,5.62,1.99,2.0,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Tôn Thất Thuyết,P.3,Q.4,1.5,111.1,bán nhà hẻm quận 4 - nhà gần công viên khánh hội,"Đ.Tôn Thất Thuyết, P.3, Q.4, Hồ Chí Minh",1,1,1,1,1.0
109,88054,55.0,42.4,12.7,4.35,4.0,,,,0,0,0,Đ.Nam,Đ.Lê Văn Lương,X.Nhơn Đức,H.Nhà Bè,1.5,27.2,"bán nhà nát, đường lê văn lương, xã nhơn đức, huyện nhà bè","Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
110,169162,28.1,36.6,8.0,3.3,1.1,,1.0,1.0,0,1,0,Tây,Đ.Nguyễn Tuân,P.3,Q.Gò Vấp,1.5,53.3,bán nhà riêng quận gò vấp - nhà nát tiện xây mới,"Đ.Nguyễn Tuân, P.3, Q.Gò Vấp, Hồ Chí Minh",1,1,0,1,1.0
111,326132,27.0,54.0,9.0,3.0,2.0,,2.0,2.0,1,0,0,Đ.Nam,Đ.Huỳnh Tấn Phát,Thị trấn Nhà Bè,H.Nhà Bè,1.5,55.5,bán nhà nhỏ xinh hẻm thông thoáng trung tâm thị trấn huyện nhà bè,"Đ.Huỳnh Tấn Phát, Thị trấn Nhà Bè, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
113,197406,12.2,36.6,3.44,3.29,2.0,,2.0,1.0,2,0,0,T.Bắc,Đ.Tôn Đản,P.15,Q.4,1.5,122.9,bán nhà hẻm quận 4 - nhà gần chợ 200 xóm chiếu,"Đ.Tôn Đản, P.15, Q.4, Hồ Chí Minh",1,1,1,1,1.0
114,417510,10.0,22.2,4.0,2.5,7.0,,2.0,2.0,1,0,0,T.Nam,Đ.Phan Anh,P.Hiệp Tân,Q.Tân Phú,1.5,150.0,bán nhà nhỏ xinh - hẻm xe tải 7m quận tân phú - phía sau ubnd phường hiệp tân,"Đ.Phan Anh, P.Hiệp Tân, Q.Tân Phú, Hồ Chí Minh",0,0,0,0,1.0
116,409511,9.4,18.8,4.46,2.83,2.81,,,1.0,1,0,0,Đ.Bắc,Đ.Hiệp Thành 26,P.Hiệp Thành,Q.12,1.5,159.5,"bán nhà riêng nhỏ xinh 1 trệt 1 lầu phường hiệp thành, quận 12     ","Đ.Hiệp Thành 26, P.Hiệp Thành, Q.12, Hồ Chí Minh",1,1,0,1,1.0
121,203913,24.0,72.0,8.0,3.0,3.0,,2.0,3.0,2,0,0,Đ.Nam,Đ.Huỳnh Tấn Phát,X.Phú Xuân,H.Nhà Bè,1.5,62.5,bán nhà mới xây hẻm thông thoáng xã phú xuân huyện nhà bè,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
124,412237,12.5,27.2,6.0,2.0,2.0,,1.0,1.0,1,0,0,Đ.Bắc,Đ.Huỳnh Khương An,P.5,Q.Gò Vấp,1.5,120.0,"bán nhà giá cực rẻ, p. 5, q. gò vấp - gần ngay chợ gò vấp","Đ.Huỳnh Khương An, P.5, Q.Gò Vấp, Hồ Chí Minh",1,1,0,0,1.0
129,367442,12.0,36.0,2.2,5.0,1.3,,2.0,2.0,2,0,0,Tây,Đ.Bà Hom,P.13,Q.6,1.53,127.5,bán nhà riêng quận 6 - gần chợ và siêu thị,"Đ.Bà Hom, P.13, Q.6, Hồ Chí Minh",1,1,1,0,1.0
132,209081,10.7,18.2,1.9,5.4,3.0,,2.0,2.0,2,0,0,Tây,Đ.Lạc Long Quân,P.3,Q.11,1.55,144.8,"bán nhà riêng quận 11, 1 trệt 2 lầu","Đ.Lạc Long Quân, P.3, Q.11, Hồ Chí Minh",1,1,1,1,1.0
133,266314,16.6,34.75,4.56,3.18,3.5,,2.0,2.0,1,0,0,T.Bắc,Đ.Tôn Đản,P.8,Q.4,1.55,93.3,"bán nhà hẻm quận 4 - nhà khu dân cư, nhà cấp 4, gần mặt tiền đường","Đ.Tôn Đản, P.8, Q.4, Hồ Chí Minh",1,1,1,1,1.0
140,415371,10.5,21.0,4.04,2.8,2.52,,1.0,1.0,1,0,0,Nam,Đ.Huỳnh Văn Chính,P.Phú Trung,Q.Tân Phú,1.55,147.6,"bán nhà nhỏ, p. phú trung, q. tân phú","Đ.Huỳnh Văn Chính, P.Phú Trung, Q.Tân Phú, Hồ Chí Minh",1,0,1,0,1.0
142,415367,13.4,40.2,3.53,3.95,1.2,,1.0,2.0,2,0,0,T.Nam,Đ.Nguyễn Thái Sơn,P.4,Q.Gò Vấp,1.55,115.6,bán nhà hẻm an ninh phường 4 - quận gò vấp,"Đ.Nguyễn Thái Sơn, P.4, Q.Gò Vấp, Hồ Chí Minh",1,1,0,0,1.0
147,147646,21.1,37.5,8.22,2.25,1.8,,2.0,2.0,1,0,0,Đ.Bắc,Đ.Nguyễn Oanh,P.17,Q.Gò Vấp,1.58,74.8,bán 2 căn nhà đối diện quận gò vấp - khu dân cư hiện hữu,"Đ.Nguyễn Oanh, P.17, Q.Gò Vấp, Hồ Chí Minh",1,1,1,1,1.0
149,408185,11.9,23.8,4.0,3.0,2.0,,2.0,1.0,1,1,0,T.Nam,Đ.Lê Liễu,P.Tân Quý,Q.Tân Phú,1.58,132.7,bán nhà nhỏ xinh gần siêu thị aoen mall quận tân phú,"Đ.Lê Liễu, P.Tân Quý, Q.Tân Phú, Hồ Chí Minh",0,0,0,0,1.0
153,249199,23.2,46.4,7.61,4.35,1.5,,3.0,1.0,1,0,0,T.Nam,Đ.Nguyễn Duy,P.12,Q.8,1.6,68.9,bán nhà riêng phường 12 quận 8 - sổ hồng riêng chính chủ,"Đ.Nguyễn Duy, P.12, Q.8, Hồ Chí Minh",1,0,1,1,1.0
157,420074,11.2,35.6,4.85,2.26,3.0,,2.0,2.0,2,0,0,T.Bắc,Đ.Gò Xoài,P.Bình Hưng Hòa A,Q.Bình Tân,1.6,142.8,bán nhà hẻm khu dân cư hiện hữu quận bình tân - hẻm thông - gần ngay chợ gò xoài,"Đ.Gò Xoài, P.Bình Hưng Hòa A, Q.Bình Tân, Hồ Chí Minh",0,0,0,0,1.0
158,148939,16.0,16.0,5.55,2.93,2.0,,2.0,1.0,1,0,0,T.Bắc,Đ.Nguyễn Sĩ Cố,P.15,Q.8,1.6,100.0,bán nhà riêng phường 15 quận 8 - sổ hồng riêng chính chủ,"Đ.Nguyễn Sĩ Cố, P.15, Q.8, Hồ Chí Minh",1,1,0,0,1.0
159,102128,6.4,17.3,3.52,2.0,2.0,,2.0,1.0,1,1,0,Nam,Đ.Lê Văn Sỹ,P.12,Q.3,1.6,249.9,"nhà nhỏ xinh sổ hồng riêng, nội thất đẹp phường 12 quận 3.","Đ.Lê Văn Sỹ, P.12, Q.3, Hồ Chí Minh",1,1,0,0,1.0
160,381604,17.0,17.0,4.02,5.02,1.54,,1.0,2.0,1,0,0,T.Nam,Đ.Tân Hòa Đông,P.14,Q.6,1.6,94.1,bán nhà nhỏ xinh quận 6 - gần chợ và siêu thị,"Đ.Tân Hòa Đông, P.14, Q.6, Hồ Chí Minh",1,1,0,0,1.0
164,262821,15.9,31.8,4.82,3.24,1.0,,1.0,1.0,1,0,0,Đông,Đ.Tùng Thiện Vương,P.13,Q.8,1.6,100.6,"bán nhà riêng phường 13, quận 8 - sổ hồng riêng chính chủ - giao dịch an toàn","Đ.Tùng Thiện Vương, P.13, Q.8, Hồ Chí Minh",1,1,0,1,1.0
166,360328,22.3,44.6,7.05,2.71,4.5,,2.0,2.0,1,1,0,T.Nam,Đ.Mai Hắc Đế,P.15,Q.8,1.6,71.7,"bán nhà riêng phường 15, quận 8 - sổ hồng riêng chính chủ - hướng tây nam ","Đ.Mai Hắc Đế, P.15, Q.8, Hồ Chí Minh",1,1,0,0,1.0
168,125167,12.1,24.2,5.07,2.61,2.0,,1.0,1.0,1,0,0,T.Nam,Đ.Tôn Thất Thuyết,P.15,Q.4,1.6,132.2,"bán nhà nhỏ hẻm quận 4 - nhà nhỏ, xinh, thích hợp gia đình nhỏ ở","Đ.Tôn Thất Thuyết, P.15, Q.4, Hồ Chí Minh",1,1,1,1,1.0
170,384099,36.0,72.0,9.0,4.0,3.0,,2.0,2.0,1,0,0,T.Nam,Đ.Huỳnh Tấn Phát,X.Phú Xuân,H.Nhà Bè,1.6,44.4,bán nhà hẻm thông thoáng xã phú xuân huyện nhà bè ,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
171,415619,12.7,43.3,4.0,3.77,1.5,,2.0,2.0,2,0,0,T.Bắc,Đ.Đinh Tiên Hoàng,P.1,Q.Bình Thạnh,1.6,125.9,"bán gấp nhà hẻm, p.1, q. bình thạnh - gần ngay bệnh viện bình thạnh","Đ.Đinh Tiên Hoàng, P.1, Q.Bình Thạnh, Hồ Chí Minh",1,1,0,0,1.0
172,373584,37.4,56.1,11.0,3.4,3.0,,2.0,1.0,0,1,0,,Đ.Đặng Nhữ Lâm,Thị trấn Nhà Bè,H.Nhà Bè,1.6,42.7,"bán nhà hẻm sổ chung thị trấn nhà bè, huyện nhà bè","Đ.Đặng Nhữ Lâm, Thị trấn Nhà Bè, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,1.0
173,101573,11.2,22.4,3.22,3.44,1.61,,1.0,1.0,1,0,0,Đ.Nam,Đ.Nguyễn Thượng Hiền,P.5,Q.Bình Thạnh,1.6,142.8,"bán nhà hẻm đường nguyễn thượng hiền, quận bình thạnh","Đ.Nguyễn Thượng Hiền, P.5, Q.Bình Thạnh, Hồ Chí Minh",1,0,1,0,1.0
