,Mã tin,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Phòng ngủ,Phòng tắm,Lầu,Lửng,Tầng thượng,Hướng,Đường,Phường,Quận,Giá,Đơn giá gộp,Tiêu đề,Địa chỉ,"Gần chợ, siêu thị",Gần trường học,Di chuyển thuận tiện ra trung tâm,"Khu vực an ninh, yên tĩnh",phân loại
179,410900,53.4,,13.0,4.0,3.0,,,,0,0,0,T.Bắc,Đ.Ấp Tam Đông,X.Thới Tam Thôn,H.Hóc Môn,1.6,29.9,"bán đất nền hẻm thông thoáng xã thới tam thôn, huyện hóc môn","Đ.Ấp Tam Đông, X.Thới Tam Thôn, H.Hóc Môn, Hồ Chí Minh",1,1,1,1,3.0
221,378470,100.0,,20.0,5.0,2.0,,,,0,0,0,Đ.Nam,Đ.Liên Ấp 2 -3,X.Hiệp Phước,H.Nhà Bè,1.7,17.0,bán đất nền hẻm thông thoáng xã hiệp phước huyện nhà bè ,"Đ.Liên Ấp 2 -3, X.Hiệp Phước, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,3.0
222,395039,40.0,,10.0,4.0,3.0,,,,0,0,0,Đông,Đ.Lê Văn Lương,X.Nhơn Đức,H.Nhà Bè,1.7,42.5,bán đất nền hẻm thông thoáng xã nhơn đức huyện nhà bè ,"Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,3.0
226,368424,88.5,,17.95,5.0,6.0,,,,0,0,0,Đ.Nam,Đ.Thị Trấn Tân Hiệp,X.Tân Hiệp,H.Hóc Môn,1.7,19.2,"bán lô đất trồng cây, diện tích 88.5m2 tân hiệp hóc môn","Đ.Thị Trấn Tân Hiệp, X.Tân Hiệp, H.Hóc Môn, Hồ Chí Minh",1,1,0,0,3.0
239,81737,44.4,,11.0,4.2,3.0,,,,0,0,0,T.Bắc,Đ.Lê Văn Lương,X.Nhơn Đức,H.Nhà Bè,1.7,38.2,bán đất nền khu dân cư hiện hữu hẻm xe ba gác xã nhơn đức huyện nhà bè,"Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh",1,1,1,0,3.0
263,342351,30.0,,11.0,2.8,3.0,,,,0,0,0,Đ.Bắc,Đ.Bình Quới,P.27,Q.Bình Thạnh,1.75,58.3,"bán đất nền đường bình quới, phường 28, khu an ninh, yên tĩnh","Đ.Bình Quới, P.27, Q.Bình Thạnh, Hồ Chí Minh",0,0,0,0,3.0
269,344435,117.6,,15.0,8.0,3.0,,,,0,0,0,T.Bắc,Đ.Nguyễn Thị Thử,X.Xuân Thới Sơn,H.Hóc Môn,1.76,14.9,"bán lô đất căn góc 2 mặt hẻm, diện tích 117.60m2 xuân thới sơn hóc môn","Đ.Nguyễn Thị Thử, X.Xuân Thới Sơn, H.Hóc Môn, Hồ Chí Minh",1,1,0,0,3.0
370,287754,137.4,106.7,16.0,12.27,3.0,,,,0,0,0,,Đ.Trương Văn Đa,X.Tân Nhựt,H.Bình Chánh,1.9,13.8,bán đất trương văn đa xã tân nhựt- sổ hồng riêng chính chủ - gần mặt tiền đường,"Đ.Trương Văn Đa, X.Tân Nhựt, H.Bình Chánh, Hồ Chí Minh",1,1,0,0,3.0
423,417944,85.0,,17.0,5.0,4.0,,,,0,0,0,Đ.Nam,Đê bao Rạch Già,X.Tân Quý Tây,H.Bình Chánh,1.95,22.9,bán đất nền huyện bình chánh - sổ hồng riêng chính chủ - khu dân cư an ninh,"Đê bao Rạch Già, X.Tân Quý Tây, H.Bình Chánh, Hồ Chí Minh",1,1,0,1,3.0
448,411123,102.8,,20.86,5.01,2.0,,,,0,0,0,Đ.Nam,Đ.Đoàn Nguyễn Tuấn,X.Quy Đức,H.Bình Chánh,1.99,19.3,"đất nền thổ cư xã quy đức, huyện bình chánh","Đ.Đoàn Nguyễn Tuấn, X.Quy Đức, H.Bình Chánh, Hồ Chí Minh",0,0,0,0,3.0
478,312994,133.8,,26.94,5.0,3.0,,,,0,0,0,,Đ.Bà Cả,X.Đa Phước,H.Bình Chánh,2.0,14.9,"bán đất nền xã đa phước, huyện bình chánh - sổ hồng riêng chính chủ","Đ.Bà Cả, X.Đa Phước, H.Bình Chánh, Hồ Chí Minh",1,1,1,0,3.0
494,350950,84.0,,12.0,7.0,2.0,,,,0,0,0,Tây,Đ.Lô 2,X.Lê Minh Xuân,H.Bình Chánh,2.05,24.4,bán đất nền bình chánh - gần chợ và siêu thị,"Đ.Lô 2, X.Lê Minh Xuân, H.Bình Chánh, Hồ Chí Minh",1,1,1,0,3.0
520,263229,98.2,,18.42,5.0,3.0,,,,0,0,0,Đ.Nam,Đ.Hưng Long- Qui Đức,X.Quy Đức,H.Bình Chánh,2.1,21.3,"bán đất nền xã qui đức, huyện bình chánh - sổ hồng riêng chính chủ","Đ.Hưng Long- Qui Đức, X.Quy Đức, H.Bình Chánh, Hồ Chí Minh",1,1,0,0,3.0
521,415902,51.5,,12.88,4.0,,10.0,,,0,0,0,Đ.Bắc,Đ.Số 8,P.Long Phước,Q.9,2.1,40.7,bán đất nền vuông vức khu dân cư blue diamond riverside phường long phước quận 9,"Đ.Số 8, P.Long Phước, Q.9, Hồ Chí Minh",1,1,1,1,3.0
522,333105,198.0,,30.38,5.88,3.0,,,,0,0,0,,Đ.Trương Văn Đa,X.Tân Nhựt,H.Bình Chánh,2.1,10.6,bán đất góc trương văn đa đường xã tân nhựt huyện bình chánh,"Đ.Trương Văn Đa, X.Tân Nhựt, H.Bình Chánh, Hồ Chí Minh",1,1,0,0,3.0
579,402463,52.3,,11.53,4.66,8.0,,,,0,0,0,T.Bắc,Đ.Số 8,P.Long Phước,Q.9,2.15,41.1,"bán đất nền hẻm 8m p. long phước, tp thủ đức","Đ.Số 8, P.Long Phước, Q.9, Hồ Chí Minh",0,0,0,0,3.0
606,234461,100.0,,25.0,4.0,3.5,,,,0,0,0,Bắc,Đ.Thạnh Xuân 33,P.Thạnh Xuân,Q.12,2.2,22.0,bán lô đất trồng cây quận 12 - cách 5 phút đi tới chợ thạnh xuân,"Đ.Thạnh Xuân 33, P.Thạnh Xuân, Q.12, Hồ Chí Minh",1,1,1,1,3.0
629,398140,117.0,,24.0,4.6,3.0,,,,0,0,0,Bắc,Đ.Thạnh Xuân 52,P.Thạnh Xuân,Q.12,2.2,18.8,"bán lô đất trồng cây, diện tích lớn quận 12 - gần khu tưởng niệm vườn cau đỏ","Đ.Thạnh Xuân 52, P.Thạnh Xuân, Q.12, Hồ Chí Minh",1,1,1,1,3.0
632,305298,1997.3,,60.99,39.89,,50.2,,,0,0,0,T.Bắc,Đ.Trần Não,P.Bình An,Q.2,610.0,305.4,"bán lô đất rộng gần 2.000m2, mặt tiền đường trần não, phường bình an, quận 2.","Đ.Trần Não, P.Bình An, Q.2, Hồ Chí Minh",0,0,0,0,3.0
634,412503,2734.6,769.7,74.9,46.8,8.0,,7.0,7.0,0,0,0,T.Bắc,Đ.Bình Quới,P.28,Q.Bình Thạnh,306.0,111.8,"bán nhà và xưởng đang kinh doanh ở bình quới quận bình thạnh - diện tích lớn, sổ hồng riêng","Đ.Bình Quới, P.28, Q.Bình Thạnh, Hồ Chí Minh",0,0,1,1,3.0
635,236736,10000.0,,200.0,62.2,,20.0,,,0,0,0,Đ.Bắc,Đ.B,P.Thạnh Mỹ Lợi,Q.2,270.0,27.0,"bán đất sản xuất nông nghiệp, gần cảng cát lái thích hợp làm kho bãi, phường thạnh mỹ lợi, quận 2.","Đ.B, P.Thạnh Mỹ Lợi, Q.2, Hồ Chí Minh",1,1,1,1,3.0
637,387002,8188.4,,92.33,17.34,,15.0,,,0,0,0,T.Nam,Đ.Nguyễn Văn Tạo,X.Long Thới,H.Nhà Bè,260.0,31.7,bán đất nền mặt tiền đường xã long thới huyện nhà bè,"Đ.Nguyễn Văn Tạo, X.Long Thới, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,3.0
641,265270,20310.0,,133.0,152.0,,10.0,,,0,0,0,T.Nam,Đ.Số 15,P.Linh Xuân,Q.Thủ Đức,200.0,9.8,"bán lô đất hơn 20,000m2 ngay mặt tiền đường phường linh xuân, quận thủ đức","Đ.Số 15, P.Linh Xuân, Q.Thủ Đức, Hồ Chí Minh",1,1,1,1,3.0
643,420125,1297.5,,68.26,12.44,,8.0,,,0,0,0,Đông,Đ.Trần Bình Trọng,P.1,Q.Gò Vấp,180.0,138.7,bán đất nền quận gò vấp - mặt tiền đường 8m - đất ở tại đô thị 100%,"Đ.Trần Bình Trọng, P.1, Q.Gò Vấp, Hồ Chí Minh",1,1,1,0,3.0
644,407123,618.7,,21.5,27.4,8.0,8.0,,,0,0,0,T.Nam,Đ.số 18,P.Bình An,Q.2,179.0,289.3,"bán lô đất mặt tiền đường phường bình an, quận 2 - gần ngay ubnd phường bình khánh","Đ.số 18, P.Bình An, Q.2, Hồ Chí Minh",1,1,1,0,3.0
645,386690,4422.8,,133.16,31.94,,15.0,,,0,0,0,Đ.Bắc,Đ.Hồ Văn Long,P.Tân Tạo,Q.Bình Tân,177.0,40.0,"bán đất 4422.8m2, 2 mặt tiền đường hẻm lớn, nở hậu, phường tân tạo, quận bình tân.","Đ.Hồ Văn Long, P.Tân Tạo, Q.Bình Tân, Hồ Chí Minh",1,1,1,0,3.0
646,302180,974.0,269.9,42.22,21.33,,12.0,5.0,6.0,0,0,0,Đ.Nam,Đ.Thảo Điền,P.Thảo Điền,Q.2,171.6,176.1,"bán biệt thự và lô đất vuông vức thuộc khu compound rộng 974m2, phường thảo điền, quận 2.","Đ.Thảo Điền, P.Thảo Điền, Q.2, Hồ Chí Minh",1,1,1,1,3.0
647,417821,1080.1,605.6,54.44,25.98,,20.0,,,0,0,0,Tây,Đ.Lương Thế Vinh,P.Tân Thới Hòa,Q.Tân Phú,170.0,157.3,bán nhà xưởng mặt tiền đường quận tân phú - thuận tiện kinh doanh,"Đ.Lương Thế Vinh, P.Tân Thới Hòa, Q.Tân Phú, Hồ Chí Minh",0,0,0,0,3.0
649,57790,6000.0,2632.0,120.0,50.0,,60.0,,,0,0,0,Đ.Bắc,Đ.Trần Văn Giàu,P.Tân Tạo A,Q.Bình Tân,150.0,25.0,bán đất nền mặt tiền đường quận bình tân,"Đ.Trần Văn Giàu, P.Tân Tạo A, Q.Bình Tân, Hồ Chí Minh",1,1,0,1,3.0
651,419678,1580.0,1580.0,53.66,24.48,,25.0,,,0,0,0,Bắc,Đ.số 22,P.Long Thạnh Mỹ,Q.9,140.0,88.6,bán đất lớn khu vực thành phố thủ đức - mặt tiền đường,"Đ.số 22, P.Long Thạnh Mỹ, Q.9, Hồ Chí Minh",0,0,0,0,3.0
652,189718,1312.1,835.5,28.56,16.79,6.0,15.0,,,0,0,0,T.Nam,Đ.Khu Y Tế Kỹ Thuật Cao,P.Bình Trị Đông B,Q.Bình Tân,135.0,102.8,bán lô đất 2 mặt tiền đường lớn - ngay khu tên lửa,"Đ.Khu Y Tế Kỹ Thuật Cao, P.Bình Trị Đông B, Q.Bình Tân, Hồ Chí Minh",1,1,1,1,3.0
655,407070,1731.3,,35.0,49.0,,60.0,,,0,0,0,Đ.Nam,Đ.Phạm Văn Đồng,P.Linh Tây,Q.Thủ Đức,121.0,69.8,"bán đất nông nghiệp mặt tiền đường lớn, phường linh tây, quận thủ đức - tiện kinh doanh đa ngành nghề","Đ.Phạm Văn Đồng, P.Linh Tây, Q.Thủ Đức, Hồ Chí Minh",1,1,1,0,3.0
657,356192,3253.3,,68.35,59.94,,8.0,,,0,0,0,Bắc,Đ.Thạnh Xuân 52,P.Thạnh Xuân,Q.12,119.0,36.5,bán lô đất thổ cư diện tích 3253.3m2 quận 12 - cách 400m tới khu tưởng niệm vườn cau đỏ,"Đ.Thạnh Xuân 52, P.Thạnh Xuân, Q.12, Hồ Chí Minh",0,0,1,0,3.0
661,346785,3320.1,,127.71,16.64,,14.0,,,0,0,0,Đông,Đ.Nguyễn Văn Tạo,X.Long Thới,H.Nhà Bè,105.0,31.6,bán 2 lô đất nền liền kề mặt tiền đường xã long thới huyện nhà bè,"Đ.Nguyễn Văn Tạo, X.Long Thới, H.Nhà Bè, Hồ Chí Minh",0,0,0,0,3.0
662,271191,1038.4,,105.75,9.82,,9.0,,,0,0,0,Đ.Bắc,Đ.Bưng Ông Thoàn,P.Phú Hữu,Q.9,105.0,101.1,"bán lô đất mặt tiền đường 9m gần, phường phú hữu - quận 9.","Đ.Bưng Ông Thoàn, P.Phú Hữu, Q.9, Hồ Chí Minh",1,0,1,1,3.0
667,361529,1506.5,,39.7,24.1,,6.0,,,0,0,0,Đ.Bắc,Đ.Số 7,P.Linh Tây,Q.Thủ Đức,98.0,65.0,chính chủ bán gấp lô đất phường linh tây - thủ đức,"Đ.Số 7, P.Linh Tây, Q.Thủ Đức, Hồ Chí Minh",1,1,1,1,3.0
668,137215,238.39,238.39,19.0,12.55,,10.0,,,0,0,0,Đ.Nam,Đ.Nguyễn Thành Ý,P.Đa Kao,Q.1,97.0,406.8,"đất đẹp hai mặt tiền tại đa kao, quận 1, gần tuyến ga metro cv lê văn tám, sổ hồng chính chủ!","Đ.Nguyễn Thành Ý, P.Đa Kao, Q.1, Hồ Chí Minh",1,1,1,1,3.0
670,418874,285.0,285.0,40.0,8.0,,32.0,,1.0,0,0,0,,Đ.Vũ Tông Phan,P.An Phú,Q.2,91.2,320.0,bán mặt bằng kinh doanh ngay góc đường vũ tông phan và đường số 24 - khu đô thị an phú - an khánh quận 2 - thành phố thủ đức,"Đ.Vũ Tông Phan, P.An Phú, Q.2, Hồ Chí Minh",0,0,0,0,3.0
673,63450,1212.5,363.4,53.0,8.58,,7.98,,,0,0,0,T.Nam,Đ.Hoàng Diệu 2,P.Linh Trung,Q.Thủ Đức,90.0,74.2,"bán đất mặt tiền đường hoàng diệu 2, phường linh trung, quận thủ đức. thổ cư 100%. hướng tây nam","Đ.Hoàng Diệu 2, P.Linh Trung, Q.Thủ Đức, Hồ Chí Minh",1,1,1,0,3.0
676,411277,1685.5,1685.5,78.17,20.3,5.0,,,1.0,0,0,0,T.Nam,Đ.Võ Thị Thừa,P.An Phú Đông,Q.12,85.0,50.4,"bán nhà xưởng 1700,8m2 phường an phú đông, quận 12","Đ.Võ Thị Thừa, P.An Phú Đông, Q.12, Hồ Chí Minh",0,0,0,0,3.0
677,383341,1117.7,,109.31,3.5,,20.0,,,0,0,0,Đông,Đ.An Dương Vương,P.An Lạc,Q.Bình Tân,85.0,76.0,"bán đất nền dt 1117.70m2 nở hậu + bụng, mặt tiền đường kinh doanh quận bình tân.","Đ.An Dương Vương, P.An Lạc, Q.Bình Tân, Hồ Chí Minh",1,1,1,0,3.0
678,245702,2096.2,,72.0,29.0,3.0,6.0,3.0,2.0,0,0,0,Tây,Đ.Số 24,P.Linh Đông,Q.Thủ Đức,83.84,39.9,"bán gấp lô đất diện tích lớn, có 2 căn nhà cấp 4, sát chung cư tecco tower, phường linh đông, quận thủ đức","Đ.Số 24, P.Linh Đông, Q.Thủ Đức, Hồ Chí Minh",1,1,1,1,3.0
679,263320,1100.0,,68.64,29.5,4.0,,,,0,0,0,Đ.Nam,Đ.Lương Định Của,P.Bình Khánh,Q.2,83.0,75.4,"bán đất nền 1.100m2, phường bình khánh, quận 2.","Đ.Lương Định Của, P.Bình Khánh, Q.2, Hồ Chí Minh",0,0,0,0,3.0
683,413481,1802.4,,66.7,35.4,4.0,,,,0,0,0,Đông,Đ.Bùi Minh Trực,P.6,Q.8,80.0,44.3,bán đất nền quận 8 - gần chợ và bến xe,"Đ.Bùi Minh Trực, P.6, Q.8, Hồ Chí Minh",1,1,1,0,3.0
685,375092,422.55,,46.9,9.0,,15.0,,,0,0,0,Nam,Đ.Nguyễn Thị Thập,P.Bình Thuận,Q.7,80.0,189.3,bán đất nền mặt tiền đường phường bình thuận  quận 7 - thích hợp mua đầu tư,"Đ.Nguyễn Thị Thập, P.Bình Thuận, Q.7, Hồ Chí Minh",0,0,0,0,3.0
689,153963,344.0,,23.0,15.0,10.0,,,,0,0,0,Đ.Bắc,Đ.Tân Hòa Đông,P.13,Q.6,75.68,220.0,bán lô đất nền lớn mặt tiền chợ phú lâm p13 q6 - 344m2,"Đ.Tân Hòa Đông, P.13, Q.6, Hồ Chí Minh",0,0,0,0,3.0
690,395195,4911.0,,142.0,20.0,,15.0,,,0,0,0,Đ.Bắc,Đ.Nguyễn Văn Tạo,X.Hiệp Phước,H.Nhà Bè,75.0,15.2,bán đất nền mặt tiền đường xã  hiệp phước huyện nhà bè - thích hợp xây mới hoặc đầu tư,"Đ.Nguyễn Văn Tạo, X.Hiệp Phước, H.Nhà Bè, Hồ Chí Minh",1,1,1,1,3.0
698,407865,3164.0,3164.0,86.7,36.5,7.0,10.0,,,0,0,0,T.Bắc,Đ.TL14,P.An Phú Đông,Q.12,72.0,22.7, bán hai lô đất liền kề phường an phú đông quận 12 ,"Đ.TL14, P.An Phú Đông, Q.12, Hồ Chí Minh",0,0,0,0,3.0
702,93946,298.7,430.0,26.62,13.31,,8.0,1.0,1.0,0,0,0,T.Bắc,Đ.Võ Văn Ngân,P.Linh Chiểu,Q.Thủ Đức,70.0,234.3,"bán đất 3 mặt hẻm thông thoáng - đường võ văn ngân, phường linh chiểu, quận thủ đức","Đ.Võ Văn Ngân, P.Linh Chiểu, Q.Thủ Đức, Hồ Chí Minh",1,1,1,0,3.0
703,74512,3476.6,,75.0,46.35,,7.3,,,0,0,0,Bắc,Đ.Số 10,P.Long Phước,Q.9,70.0,20.1,bán lô đất diện tích lớn phường long phước - thành phố thủ đức,"Đ.Số 10, P.Long Phước, Q.9, Hồ Chí Minh",0,0,0,0,3.0
705,408355,2394.3,,104.0,23.24,,10.0,,,0,0,0,,Đ.Tô Ngọc Vân,P.Tam Bình,Q.Thủ Đức,70.0,29.2,"bán lô đất nền, diện tích lớn, p. tam bình, thủ đức","Đ.Tô Ngọc Vân, P.Tam Bình, Q.Thủ Đức, Hồ Chí Minh",0,0,0,0,3.0
706,391720,753.9,,26.91,39.73,,10.0,,,0,0,0,Nam,Đ.Số 1,P.An Lạc,Q.Bình Tân,69.6,92.3,"bán 6 thửa đất nền góc 3 mặt tiền đường lớn, diện tích 753.9m2 phường an lạc, quận bình tân.","Đ.Số 1, P.An Lạc, Q.Bình Tân, Hồ Chí Minh",1,1,1,0,3.0
709,93037,1645.0,850.5,35.81,47.73,5.5,,1.0,1.0,0,0,0,Nam,Đ.Nguyễn Văn Quá,P.Đông Hưng Thuận,Q.12,69.0,41.9,"bán xưởng đang cho thuê quận 12 - vị trí đắc địa, 30m ra đường nguyễn văn quá","Đ.Nguyễn Văn Quá, P.Đông Hưng Thuận, Q.12, Hồ Chí Minh",1,1,1,1,3.0
710,409248,508.8,,24.79,20.27,,12.0,,,0,0,0,T.Bắc,Đ.D6,P.Phú Hữu,Q.9,68.68,135.0,bán đất thổ cư 100% quận 9 - đối diện dự án compound verosa park khang điền,"Đ.D6, P.Phú Hữu, Q.9, Hồ Chí Minh",0,0,1,1,3.0
715,341535,517.0,581.0,53.0,10.0,,12.0,2.0,1.0,1,0,0,Tây,Đ.Tô Hiệu,P.Hiệp Tân,Q.Tân Phú,67.0,129.5,bán xưởng mặt tiền p.hiệp tân q.tân phú,"Đ.Tô Hiệu, P.Hiệp Tân, Q.Tân Phú, Hồ Chí Minh",0,0,0,0,3.0
716,415039,557.1,103.0,42.0,11.9,,7.0,,,0,0,0,T.Nam,Đ.số 20,P.Bình Trưng Đông,Q.2,66.0,118.4,bán đất nền quận 2 - thành phố thủ đức - mặt tiền đường số 7m - đã được định giá 71.6 tỷ,"Đ.số 20, P.Bình Trưng Đông, Q.2, Hồ Chí Minh",1,1,1,0,3.0
717,81773,4371.0,,40.0,88.38,7.0,,,,0,0,0,Bắc,Đ.Võ Thị Hồi,X.Xuân Thới Sơn,H.Hóc Môn,65.56,15.0,bán lô đất nền huyện hóc môn- hẻm nội bộ kdc hiện hữu 7m,"Đ.Võ Thị Hồi, X.Xuân Thới Sơn, H.Hóc Môn, Hồ Chí Minh",1,1,0,1,3.0
728,385071,3058.5,,65.78,46.5,5.0,,,,0,0,0,T.Bắc,Đ.Xuân Thới Sơn 20,X.Xuân Thới Sơn,H.Hóc Môn,60.0,19.6,"bán nguyên lô đất 3058.5m2 gồm 3 miếng đã có sổ hồng riêng, xuân thới sơn hóc môn.","Đ.Xuân Thới Sơn 20, X.Xuân Thới Sơn, H.Hóc Môn, Hồ Chí Minh",1,1,0,0,3.0
731,264241,564.4,,45.39,13.47,,8.0,,,0,0,0,T.Nam,Đ.số 8,P.Linh Chiểu,Q.Thủ Đức,58.13,102.9,"bán lô đất lớn ngay mặt tiền số 8, phường linh chiểu, quận thủ đức","Đ.số 8, P.Linh Chiểu, Q.Thủ Đức, Hồ Chí Minh",1,1,1,1,3.0
738,302164,1039.1,,87.5,11.87,,9.0,,,0,0,0,T.Nam,Đ.Bưng Ông Thoàn,P.Tăng Nhơn Phú B,Q.9,55.14,53.0,bán đất nền chính chủ- mặt tiền đường bưng ông thoàn- gần khu samsung phường tăng nhơn phú b quận 9.,"Đ.Bưng Ông Thoàn, P.Tăng Nhơn Phú B, Q.9, Hồ Chí Minh",1,1,0,0,3.0
