item_code,item_name,bedroom,bathroom,area,direction,address,total_price,unit_price,gross_unit_price,payment,property_Phòng ngủ,property_Phòng tắm,property_Diện tích sử dụng,property_Hướng,property_Hiện trạng nhà,property_Giấy tờ,property_Chiều dài,property_Chiều rộng,property_Diện tích đất,property_Độ rộng hẻm,property_Kết cấu nhà,property_Năm xây dựng,property_Độ rộng mặt tiền đường,utility_Na,"utility_Gần chợ, siêu thị",utility_Gần trường học,utility_Di chuyển thuận tiện ra trung tâm,utility_Thiết kế thông thoáng,"utility_Khu vực an ninh, yên tĩnh",utility_Gần mặt tiền đường,utility_Gần bệnh viện,"utility_Gần công viên, trung tâm",utility_Sân để xe rộng rãi,utility_Hẻm thông,utility_Cần bán gấp,utility_Nở hậu,utility_2 Mặt hẻm,utility_2 Mặt đường chính
360588,Bán nhà hẻm thông thoáng Phường 5 Quận 8 - Sổ hồng riêng chính chủ,2,1,4.7 m²,T.Bắc,"Đ.Bông Sao, P.5, Q.8, Hồ Chí Minh","1,1 tỷ","224,2 triệu/m²",234 triệu/m²,"11,35 triệu/tháng",2,1,9.2 m²,T.Bắc,,Sổ hồng,3.32 m,1.52 m,4.7 m²,2.1 m,"1 trệt, 1 gác suốt + 2 lầu",,,True,,,,,,,,,,,,,,
361245,Bán Nhà Hẻm Thông Thoáng Xã Phú Xuân Huyện Nhà Bè,2,1,24 m²,T.Nam,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh","1,1 tỷ","37,3 triệu/m²","45,8 triệu/m²","11,35 triệu/tháng",2,1,48 m²,T.Nam,Đang ở,Sổ hồng,8 m,3 m,24 m²,3 m,"1 trệt, 1 áp mái + 1 lầu",,,,True,True,True,True,True,True,True,True,True,,,,,
322100,Bán đất nền Bình Chánh - Gần trường học,,,63.7 m²,Đông,"Đ.Bông Văn Dĩa, X.Tân Kiên, H.Bình Chánh, Hồ Chí Minh","1,1 tỷ",,"17,2 triệu/m²","11,35 triệu/tháng",,,,Đông,,Sổ hồng,16.3 m,4 m,63.7 m²,2 m,,,,,True,True,,,,True,,,,,,,,
204923,Bán căn hộ chung cư ngay trung tâm Quận 5,1,1,20.38 m²,Đông,"Đ.Nguyễn Trãi, P.14, Q.5, Hồ Chí Minh","1,1 tỷ",,"53,9 triệu/m²","11,35 triệu/tháng",1,1,20.38 m²,Đông,,Sổ hồng,,,,,,,,,True,True,True,True,,True,True,True,True,,,,,
353896,Nhà nhỏ Sổ hồng riêng Hẻm Tân Hòa Đông P14 Q6 - 2 x 7.08m,1,1,9.5 m²,Đông,"Đ.Tân Hòa Đông, P.14, Q.6, Hồ Chí Minh","1,12 tỷ","111,1 triệu/m²","117,8 triệu/m²","11,56 triệu/tháng",1,1,19 m²,Đông,Đang ở,Sổ hồng,7.08 m,2 m,9.5 m²,3.47 m,1 trệt + 1 lầu,,,True,,,,,,,,,,,,,,
225425,Bán Nhà Nhỏ Xinh 1 Lầu Đúc Thật Đường Văn Thân P8 Q6 - 2x7m,2,1,14 m²,T.Nam,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh","1,15 tỷ","74,7 triệu/m²","82,1 triệu/m²","11,87 triệu/tháng",2,1,28 m²,T.Nam,Đang ở,Sổ hồng,7 m,2 m,14 m²,2 m,1 trệt + 1 lầu,,,,True,True,True,True,True,True,True,True,True,,,,,
165468,"Bán nhà riêng Phường 15, Quận 8 - Sổ hồng riêng chính chủ",2,1,11.4 m²,Đ.Nam,"Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh","1,15 tỷ","95,1 triệu/m²","100,8 triệu/m²","11,87 triệu/tháng",2,1,17.6 m²,Đ.Nam,,Sổ hồng,5.44 m,2.34 m,11.4 m²,2 m,1 trệt + 1 lầu,,,,True,True,,,,True,,,,,,,,
382860,Bán căn hộ 1 phòng ngủ chung cư Tân Mỹ Quận 7- Căn hộ thoáng mát.,1,1,34 m²,Bắc,"Đ.số 8, P.Tân Phú, Q.7, Hồ Chí Minh","1,15 tỷ",,"33,8 triệu/m²","11,87 triệu/tháng",1,1,34 m²,Bắc,,Sổ hồng,,,,,,,,,True,True,,,,True,,,,,,,,
348816,"Bán đất hẻm an ninh Đường 6B, Xã Vĩnh Lộc B Huyện Bình Chánh",,,57 m²,Đông,"Đ.6B Vĩnh Lộc, X.Vĩnh Lộc B, H.Bình Chánh, Hồ Chí Minh","1,15 tỷ",,"20,1 triệu/m²","11,87 triệu/tháng",,,,Đông,,Sổ hồng,14.3 m,4 m,57 m²,4 m,,,,True,,,,,,,,,,,,,,
364833,Bán nhà hẻm Phường 10 Quận 8 - Sổ hồng riêng chính chủ,1,1,9.4 m²,Tây,"Đ.Ba Đình, P.10, Q.8, Hồ Chí Minh","1,15 tỷ","118,6 triệu/m²","122,3 triệu/m²","11,87 triệu/tháng",1,1,9.4 m²,Tây,,Sổ hồng,4.54 m,1.87 m,9.4 m²,1.16 m,1 trệt + 1 lầu,,,True,,,,,,,,,,,,,,
409014,Căn hộ tầng thấp chung cư Tân Mỹ quận 7 đang để trống,1,1,33.1 m²,,"Đ.số 8, P.Tân Phú, Q.7, Hồ Chí Minh","1,15 tỷ",,"34,7 triệu/m²","11,87 triệu/tháng",1,1,33.1 m²,,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
394540,"Bán căn hộ chung cư OFFICETEL D-VELA,  Phường Phú Thuận - Quận 7",1,1,39 m²,,"Đ.Huỳnh Tấn Phát, P.Phú Thuận, Q.7, Hồ Chí Minh","1,15 tỷ",,"29,4 triệu/m²","11,87 triệu/tháng",1,1,39 m²,,,,,,,,,,,True,,,,,,,,,,,,,,
176668,Bán Căn Hộ 1 Phòng Ngủ Chung Cư Silver Star-Hưng Phát 2 Thích Hợp Mở Văn Phòng Hoặc Để Ở Đường Nguyễn Hữu Thọ Xã Phước Kiển Huyện Nhà Bè,1,1,30.44 m²,,"Đ.Nguyễn Hữu Thọ, X.Phước Kiển, H.Nhà Bè, Hồ Chí Minh","1,16 tỷ",,"38,1 triệu/m²","11,97 triệu/tháng",1,1,30.44 m²,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,,,,,
419926,Bán nhà riêng huyện Nhà bè - Hẻm xe hơi 6m,2,1,16 m²,Bắc,"Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh","1,18 tỷ","62,2 triệu/m²","73,7 triệu/m²","12,18 triệu/tháng",2,1,48 m²,Bắc,,Sổ hồng,4.6 m,3.4 m,16 m²,6 m,1 trệt + 2 lầu,,,True,,,,,,,,,,,,,,
394689,"Bán căn hộ 1 PN sang trọng, đầy đủ nội thất tại THÁI AN 4 - Quận 12",1,1,40 m²,,"Đ.Nguyễn Văn Quá, P.Đông Hưng Thuận, Q.12, Hồ Chí Minh","1,2 tỷ",,30 triệu/m²,"12,39 triệu/tháng",1,1,40 m²,,Đang cho thuê,,,,,,,,,,True,,,,,True,,,,,,,,
391429,Bán Căn Hộ Chung Cư Đường Võ Văn Kiệt Quận 5 - Gần chợ Hòa Bình,1,1,20 m²,Tây,"Đ.Võ Văn Kiệt, P.1, Q.5, Hồ Chí Minh","1,2 tỷ",,60 triệu/m²,"12,39 triệu/tháng",1,1,20 m²,Tây,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
282770,Bán nhà riêng Phường 15 Quận 8 - Sổ hồng riêng chính chủ,2,1,10.5 m²,T.Bắc,"Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh","1,2 tỷ","105,8 triệu/m²","114,2 triệu/m²","12,39 triệu/tháng",2,1,21 m²,T.Bắc,,Sổ hồng,3.03 m,3.85 m,10.5 m²,1.1 m,"1 trệt, 1 lửng + 1 lầu",,,,True,True,,,,True,,,,,,,,
215105,"Bán Chung Cư Căn Hộ HQC-Đường Nguyễn Văn Linh, Huyện Bình Chánh",2,2,50.03 m²,,"Đ.Nguyễn Văn Linh, X.An Phú Tây, H.Bình Chánh, Hồ Chí Minh","1,2 tỷ",,"23,9 triệu/m²","12,39 triệu/tháng",2,2,50.03 m²,,,,,,,,,,,,True,True,,,,True,,,,,,,,
112091,Bán nhà Quận Gò Vấp - Hẻm yên tĩnh - Nhà trống giao ngay,1,1,12.9 m²,T.Nam,"Đ.Nguyễn Văn Lượng, P.17, Q.Gò Vấp, Hồ Chí Minh","1,2 tỷ","85,6 triệu/m²",93 triệu/m²,"12,39 triệu/tháng",1,1,25.8 m²,T.Nam,,Sổ hồng,5.87 m,2 m,12.9 m²,1 m,1 trệt + 1 lầu,,,,True,True,,,True,,,,,,,,,
394789,"Bán Căn Hộ 1 Phòng Ngủ, 1WC, Chung Cư BOULEVAR, Phường Phú Mỹ, Quận 7",1,1,28.6 m²,,"Đ.Nguyễn Lương Bằng, P.Phú Mỹ, Q.7, Hồ Chí Minh","1,2 tỷ",,"41,9 triệu/m²","12,39 triệu/tháng",1,1,28.6 m²,,,,,,,,,,,True,,,,,,,,,,,,,,
404618,BÁN CĂN HỘ 1 PHÒNG NGỦ CHUNG CƯ TÂN MỸ PHƯỜNG TÂN PHÚ QUẬN 7 ,1,1,33.1 m²,Đ.Bắc,"Đ.Nguyễn Lương Bằng, P.Tân Phú, Q.7, Hồ Chí Minh","1,2 tỷ",,"36,2 triệu/m²","12,39 triệu/tháng",1,1,33.1 m²,Đ.Bắc,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
395307,Bán Nhà 1 Trệt 1 Lửng 2 Lầu Hẻm Xe Máy Phường Tân Hưng Quận 7 ,2,2,8.4 m²,T.Nam,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh","1,2 tỷ","125,1 triệu/m²","142,8 triệu/m²","12,39 triệu/tháng",2,2,29.7 m²,T.Nam,,Sổ hồng,4.28 m,1.97 m,8.4 m²,2.5 m,"1 trệt, 1 lửng + 2 lầu",,,,True,True,True,True,True,True,True,True,,,,,,
414635,Bán nhà nhỏ xinh Quận 6 - Gần công viên và chợ,1,1,11.5 m²,Đ.Nam,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh","1,2 tỷ","100,6 triệu/m²","104,3 triệu/m²","12,39 triệu/tháng",1,1,11.5 m²,Đ.Nam,,Sổ hồng,3.58 m,3.03 m,11.5 m²,0.9 m,1 trệt + 1 lầu,,,,True,True,True,True,,,,,,,,,,
409815,"Chính chủ cần bán căn hộ 01 phòng ngủ chung cư Tân Mỹ, Quận 7.",1,1,33.1 m²,Nam,"Đ.Nguyễn Lương Bằng, P.Tân Phú, Q.7, Hồ Chí Minh","1,2 tỷ",,"36,2 triệu/m²","12,39 triệu/tháng",1,1,33.1 m²,Nam,,Sổ hồng,,,,,,,,,True,True,,,,True,,,,,,,,
298794,Bán nhà Quận Tân Phú - Khu dân cư an ninh,2,1,4.9 m²,Đông,"Đ.Âu Cơ, P.Tân Thành, Q.Tân Phú, Hồ Chí Minh","1,2 tỷ","232,1 triệu/m²","244,8 triệu/m²","12,39 triệu/tháng",2,1,14.7 m²,Đông,,Sổ hồng,2.6 m,3.3 m,4.9 m²,2.04 m,1 trệt + 2 lầu,,,,True,True,,,,True,,,,,,,,
369318,Bán Đất Nền Hẻm Thông Thoáng Phường Tân Thuận Đông Quận 7 - Gần Khu Chế Xuất Tân Thuận,,,15.8 m²,Bắc,"Đ.Bùi Văn Ba, P.Tân Thuận Đông, Q.7, Hồ Chí Minh","1,2 tỷ",,"75,9 triệu/m²","12,39 triệu/tháng",,,,Bắc,,Sổ hồng,6 m,2.6 m,15.8 m²,2.7 m,,,,,True,True,True,,True,True,True,True,True,,,,,
411838,"BÁN NHÀ MỚI, 1 TRỆT, 2 LẦU, P.14, QUẬN 6",2,3,8.4 m²,Đông,"Đ.Tân Hòa Đông, P.14, Q.6, Hồ Chí Minh","1,2 tỷ","138,6 triệu/m²","142,8 triệu/m²","12,39 triệu/tháng",2,3,8.4 m²,Đông,,Sổ hồng,4.41 m,2 m,8.4 m²,2.4 m,1 trệt + 2 lầu,,,,True,True,,,,True,True,True,,,,,,
412285,Bán Căn Hộ Chung Cư Nguyễn Quyền Plaza Quận Bình Tân ,2,2,51.68 m²,Đ.Bắc,"Đ.Phan Anh, P.Bình Trị Đông, Q.Bình Tân, Hồ Chí Minh","1,25 tỷ",,"24,1 triệu/m²","12,9 triệu/tháng",2,2,51.68 m²,Đ.Bắc,,,,,,,,,,True,,,,,,,,,,,,,,
229234,Bán nhà riêng nhỏ xinh Quận 6 - Gần chợ Bình Tiên,1,1,14.8 m²,Bắc,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh","1,25 tỷ","80,7 triệu/m²","84,4 triệu/m²","12,9 triệu/tháng",1,1,14.8 m²,Bắc,Đang cho thuê,Sổ hồng,10.7 m,1.45 m,14.8 m²,2.3 m,1 trệt + 1 lầu,,,,True,True,True,True,,,,True,,,,,,
408744,Căn hộ Officetel Sky9 trần cao thông thoáng,1,1,50 m²,,"Đ.Liên phường, P.Phú Hữu, Q.9, Hồ Chí Minh","1,25 tỷ",,25 triệu/m²,"12,9 triệu/tháng",1,1,50 m²,,Đang ở,,,,,,,,,True,,,,,,,,,,,,,,
131071,Bán Nhà Nhỏ Xinh Hẻm Thông Thoáng Xã Phú Xuân Huyện Nhà Bè,2,2,21 m²,Đ.Bắc,"Đ.Nguyễn Bình, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh","1,25 tỷ","52,8 triệu/m²","59,5 triệu/m²","12,9 triệu/tháng",2,2,42 m²,Đ.Bắc,,Sổ hồng,7 m,3 m,21 m²,3 m,1 trệt + 1 lầu,,,,True,True,True,True,True,True,True,True,,,,,,
298387,Bán Nhà Hẻm Thông Thoáng Trung Tâm Thị Trấn Nhà Bè,2,2,18 m²,Đ.Nam,"Đ.Huỳnh Tấn Phát, Thị trấn Nhà Bè, H.Nhà Bè, Hồ Chí Minh","1,25 tỷ","56,7 triệu/m²","69,4 triệu/m²","12,9 triệu/tháng",2,2,54 m²,Đ.Nam,Đang ở,Sổ hồng,6 m,3 m,18 m²,3 m,1 trệt + 2 lầu,,,,True,True,True,,True,True,True,True,True,,,,,
103583,Bán lô đất nông nghiệp Quận 12 - Cách đường QL1A 1km,,,47.7 m²,T.Nam,"Đ.Thạnh Xuân 14, P.Thạnh Xuân, Q.12, Hồ Chí Minh","1,25 tỷ",,"26,2 triệu/m²","12,9 triệu/tháng",,,,T.Nam,,Sổ hồng,11.66 m,4 m,47.7 m²,,,,5 m,,,,,,True,True,,,,True,,,,
154712,"Bán nhà riêng Phường 15, Quận 8 - Sổ hồng riêng chính chủ",2,1,10.5 m²,T.Bắc,"Đ.Bến Bình Đông, P.15, Q.8, Hồ Chí Minh","1,25 tỷ","115,3 triệu/m²",119 triệu/m²,"12,9 triệu/tháng",2,1,10.5 m²,T.Bắc,,Sổ hồng,4.59 m,2.5 m,10.5 m²,2 m,1 trệt + 1 lầu,,,,True,True,,,,True,,,,,,,,
173948,"Bán nhà riêng Phường 15, Quận 8 - Sổ hồng riêng chính chủ",2,1,14.5 m²,Đ.Bắc,"Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh","1,25 tỷ","82,5 triệu/m²","86,2 triệu/m²","12,9 triệu/tháng",2,1,14.5 m²,Đ.Bắc,,Sổ hồng,4.94 m,2.81 m,14.5 m²,1.5 m,1 trệt + 1 lầu,,,,True,True,,,,True,,,,,,,,
419116,"Bán nhà nhỏ xinh, sạch sẽ, thiết kế hiện đại ở Quận Tân Phú - Phù hợp cho gia đình trẻ mua ở ổn định, lâu dài",1,1,8.9 m²,Đ.Bắc,"Đ.Phú Thọ Hòa, P.Phú Thọ Hòa, Q.Tân Phú, Hồ Chí Minh","1,27 tỷ","134,6 triệu/m²","142,6 triệu/m²","13,11 triệu/tháng",1,1,19.4 m²,Đ.Bắc,,Sổ hồng,4.7 m,1.85 m,8.9 m²,1.78 m,"1 trệt, 1 lửng",,,True,,,,,,,,,,,,,,
287621,"Bán căn hộ 1 phòng ngủ, chung cư Mười Mẫu, phường Bình Trưng Đông, quận 2.",1,1,44 m²,Bắc,"Đ.Số 49, P.Bình Trưng Đông, Q.2, Hồ Chí Minh","1,28 tỷ",,29 triệu/m²,"13,21 triệu/tháng",1,1,44 m²,Bắc,Đang ở,Sổ hồng,,,,,,,,,True,True,True,True,True,True,,,,,,,,
389258,"Bán căn hộ 1 phòng ngủ chung cư Tân Mỹ, Tân Phú- Quận 7",1,1,33 m²,,"Đ.số 8, P.Tân Phú, Q.7, Hồ Chí Minh","1,29 tỷ",,39 triệu/m²,"13,31 triệu/tháng",1,1,33 m²,,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
342991,Bán căn hộ chung cư Phạm Thế Hiển Phường 4 Quận 8 ,1,1,40 m²,Bắc,"Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh","1,3 tỷ",,"32,5 triệu/m²","13,42 triệu/tháng",1,1,40 m²,Bắc,,Sổ đỏ,,,,,,,,,True,True,True,True,True,,True,True,,,,,,
309836,"Bán nhà riêng Phường 14, Quận 8 - Hướng Đông Nam",1,1,16 m²,Đ.Nam,"Đ.Bình Đông, P.14, Q.8, Hồ Chí Minh","1,3 tỷ","74,5 triệu/m²","81,2 triệu/m²","13,42 triệu/tháng",1,1,32 m²,Đ.Nam,,Sổ hồng,5.31 m,3.17 m,16 m²,2.5 m,"1 trệt, 1 áp mái, 1 gác suốt",,,,True,,True,,,True,,,,,,,,
218291,Bán nhà ngõ hẻm Quận 4 - Nhà trống,1,2,10 m²,Đông,"Đ.Vĩnh Hội, P.4, Q.4, Hồ Chí Minh","1,3 tỷ","122,9 triệu/m²",130 triệu/m²,"13,42 triệu/tháng",1,2,19.2 m²,Đông,,Sổ hồng,5 m,2 m,10 m²,1.5 m,1 trệt + 1 lầu,,,,True,True,,True,,,,,,,,,,
414891,"Bán căn hộ officetel vừa ở vừa làm văn phòng, chung cư Sky 9 Apartments - Quận 9",,1,28.77 m²,,"Đ.Liên phường, P.Phú Hữu, Q.9, Hồ Chí Minh","1,3 tỷ",,"45,1 triệu/m²","13,42 triệu/tháng",,1,28.77 m²,,,,,,,,,,,True,,,,,,,,,,,,,,
301680,Bán căn hộ studio chung cư Vinhomes Grand Park - View hướng Đông Bắc,1,1,29.9 m²,Đ.Bắc,"Đ.Nguyễn Xiển, P.Long Thạnh Mỹ, Q.9, Hồ Chí Minh","1,3 tỷ",,"43,4 triệu/m²","13,42 triệu/tháng",1,1,29.9 m²,Đ.Bắc,,,7 m,4.8 m,29.9 m²,,,,,,,,True,True,True,True,,True,True,,,,,
364423,BÁN ĐẤT NỀN HẺM THÔNG THOÁNG XÃ NHƠN ĐỨC HUYỆN NHÀ BÈ,,,83.9 m²,Tây,"Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh","1,3 tỷ",,"15,4 triệu/m²","13,42 triệu/tháng",,,,Tây,,Sổ hồng,17.19 m,5 m,83.9 m²,4 m,,,,,True,True,True,,True,True,True,True,,,,,,
416791,Bán căn hộ chung cư Viễn Đông Quận 5 - Diện tích 26.84m2,1,1,26.84 m²,,"Đ.Trần Hưng Đạo, P.6, Q.5, Hồ Chí Minh","1,3 tỷ",,"48,4 triệu/m²","13,42 triệu/tháng",1,1,26.84 m²,,,Sổ hồng,,,,,,,,True,,,,,,,,,,,,,,
243290,Bán nhà 1 lầu Quận 6 - Gần chợ Bình Tiên,,1,13.4 m²,T.Nam,"Đ.Bình Tiên, P.8, Q.6, Hồ Chí Minh","1,3 tỷ","93,3 triệu/m²",97 triệu/m²,"13,42 triệu/tháng",,1,13.4 m²,T.Nam,,Sổ hồng,6.1 m,2.29 m,13.4 m²,1.96 m,1 trệt + 1 lầu,,,,True,True,,True,,,,,,,,,,
417704,Bán nhà riêng Quận 8 - Hẻm cụt an ninh - Sổ hồng riêng,1,1,17.7 m²,Đ.Bắc,"Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh","1,3 tỷ","67,1 triệu/m²","73,4 triệu/m²","13,42 triệu/tháng",1,1,30.3 m²,Đ.Bắc,,Sổ hồng,6.62 m,1.21 m,17.7 m²,1.21 m,1 trệt + 1 lầu,,,,,,True,,True,,,,,,,,,
68989,Bán nhà hẻm Quận 12 - Cách 600m tới chợ Hiệp Thành,1,1,13.6 m²,Nam,"Đ.Nguyễn Ảnh Thủ, P.Hiệp Thành, Q.12, Hồ Chí Minh","1,32 tỷ","90,3 triệu/m²",97 triệu/m²,"13,62 triệu/tháng",1,1,27.2 m²,Nam,,Sổ hồng,4 m,3.4 m,13.6 m²,2.2 m,1 trệt + 1 lầu,,,,True,,,,True,True,,,,,,,,
382544,Bán căn hộ 1 phòng ngủ chung cư Huỳnh Văn Chính 1 quận Tân Phú - Căn hộ trống giao ngay,1,1,43.6 m²,Đ.Bắc,"Đ.Huỳnh Văn Chính, P.Phú Trung, Q.Tân Phú, Hồ Chí Minh","1,35 tỷ",,"30,9 triệu/m²","13,93 triệu/tháng",1,1,43.6 m²,Đ.Bắc,,Sổ hồng,,,,,,,,,True,True,True,True,,,,,,,,,,
